,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
732,55,"Friday, Jun 3",boxscore,BOS,,TOR,L,2,5,,32-23,1,Tied,Dickey,Price,Osuna,3:10,N,37129,---,,2016
733,56,"Saturday, Jun 4",boxscore,BOS,,TOR,W,6,4,,33-23,1,up 1.0,Wright,Stroman,Kimbrel,3:08,D,37762,+,,2016
734,57,"Sunday, Jun 5",boxscore,BOS,,TOR,L,4,5,,33-24,1,Tied,Estrada,Rodriguez,,2:44,D,35823,-,,2016
735,58,"Tuesday, Jun 7",boxscore,BOS,@,SFG,W,5,3,10,34-24,2,0.5,Tazawa,Casilla,Kimbrel,3:04,N,41512,+,,2016
736,59,"Wednesday, Jun 8",boxscore,BOS,@,SFG,L,1,2,,34-25,2,1.5,Gearrin,Price,Strickland,2:45,N,41635,-,,2016
737,60,"Friday, Jun 10",boxscore,BOS,@,MIN,W,8,1,,35-25,2,1,Wright,Duffey,,3:00,N,22786,+,,2016
738,61,"Saturday, Jun 11",boxscore,BOS,@,MIN,W,15,4,,36-25,1,Tied,Hembree,Gibson,,3:45,D,28633,++,,2016
739,62,"Sunday, Jun 12",boxscore,BOS,@,MIN,L-wo,4,7,10,36-26,1,Tied,Tonkin,Barnes,,3:28,D,26087,-,,2016
740,63,"Tuesday, Jun 14",boxscore,BOS,,BAL,L,2,3,,36-27,2,1,Tillman,Price,Britton,2:47,N,38009,--,,2016
741,64,"Wednesday, Jun 15",boxscore,BOS,,BAL,W,6,4,,37-27,1,Tied,Wright,Gausman,Kimbrel,2:58,N,36233,+,,2016
742,65,"Thursday, Jun 16",boxscore,BOS,,BAL,L,1,5,,37-28,2,1,Wilson,Rodriguez,,2:53,N,36757,-,,2016
743,66,"Friday, Jun 17",boxscore,BOS,,SEA,L,4,8,,37-29,2,1,Iwakuma,Elias,Cishek,2:49,N,35896,--,,2016
744,67,"Saturday, Jun 18",boxscore,BOS,,SEA,W,6,2,,38-29,2,1,Porcello,Sampson,,2:53,D,37195,+,,2016
745,68,"Sunday, Jun 19",boxscore,BOS,,SEA,W,2,1,,39-29,2,1,Price,Diaz,Kimbrel,3:05,D,37211,++,,2016
746,69,"Monday, Jun 20",boxscore,BOS,,CHW,L,1,3,10,39-30,2,1,Duke,Kimbrel,Robertson,3:33,N,36291,-,,2016
747,70,"Tuesday, Jun 21",boxscore,BOS,,CHW,L,1,3,,39-31,2,1,Sale,Buchholz,Robertson,2:54,N,36544,--,,2016
748,71,"Wednesday, Jun 22",boxscore,BOS,,CHW,L,6,8,,39-32,2,2,Jennings,Uehara,Duke,3:38,N,37413,---,,2016
749,72,"Thursday, Jun 23",boxscore,BOS,,CHW,W-wo,8,7,10,40-32,2,1.5,Kimbrel,Purke,,4:25,D,37790,+,,2016
750,73,"Friday, Jun 24",boxscore,BOS,@,TEX,W,8,7,,41-32,2,1.5,Hembree,Bush,Uehara,3:48,N,46811,++,,2016
751,74,"Saturday, Jun 25",boxscore,BOS,@,TEX,L,3,10,,41-33,2,3,Ramos,Wright,,3:30,N,47559,-,,2016
752,75,"Sunday, Jun 26",boxscore,BOS,@,TEX,L,2,6,,41-34,2,4,Perez,Buchholz,,3:04,D,36312,--,,2016
753,76,"Monday, Jun 27",boxscore,BOS,@,TBR,L,7,13,,41-35,2,4.5,Snell,Rodriguez,,3:29,N,18024,---,,2016
754,77,"Tuesday, Jun 28",boxscore,BOS,@,TBR,W,8,2,,42-35,2,4.5,Porcello,Archer,,3:11,N,16986,+,,2016
755,78,"Wednesday, Jun 29",boxscore,BOS,@,TBR,L,0,4,,42-36,2,5.5,Moore,Price,,2:49,D,24110,-,,2016
756,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2016
757,79,"Friday, Jul 1",boxscore,BOS,,LAA,W,5,4,,43-36,2,4,Wright,Chacin,Kimbrel,3:36,N,37117,+,,2016
758,80,"Saturday, Jul 2",boxscore,BOS,,LAA,L,2,21,,43-37,2,4,Santiago,Buchholz,,3:38,N,36552,-,,2016
759,81,"Sunday, Jul 3",boxscore,BOS,,LAA,W,10,5,,44-37,2,3,O'Sullivan,Shoemaker,,3:52,D,36801,+,,2016
760,82,"Monday, Jul 4",boxscore,BOS,,TEX,W,12,5,,45-37,2,2,Porcello,Martinez,,3:40,D,36253,++,,2016
761,83,"Tuesday, Jul 5",boxscore,BOS,,TEX,L,2,7,,45-38,3,3,Ramos,Price,,3:21,N,35964,-,,2016
762,84,"Wednesday, Jul 6",boxscore,BOS,,TEX,W,11,6,,46-38,3,3,Wright,Perez,,3:19,N,37175,+,,2016
763,85,"Friday, Jul 8",boxscore,BOS,,TBR,W,6,5,,47-38,3,2,Ross,Archer,Uehara,3:20,N,37739,++,,2016
764,86,"Saturday, Jul 9",boxscore,BOS,,TBR,W,4,1,,48-38,2,2,Porcello,Moore,Uehara,2:43,D,36900,+++,,2016
765,87,"Sunday, Jul 10",boxscore,BOS,,TBR,W,4,0,,49-38,2,2,Price,Odorizzi,,2:31,D,36669,++++,,2016
766,88,"Friday, Jul 15",boxscore,BOS,@,NYY,W,5,3,,50-38,2,2,Wright,Pineda,Uehara,3:05,N,47439,+++++,,2016
767,89,"Saturday, Jul 16",boxscore,BOS,@,NYY,W,5,2,,51-38,2,2,Rodriguez,Sabathia,Uehara,2:56,D,48329,++++++,,2016
768,90,"Sunday, Jul 17",boxscore,BOS,@,NYY,L,1,3,,51-39,2,2,Tanaka,Price,Chapman,2:57,N,42884,-,,2016
769,91,"Tuesday, Jul 19",boxscore,BOS,,SFG,W,4,0,,52-39,2,0.5,Porcello,Peavy,,2:42,N,38082,+,,2016
770,92,"Wednesday, Jul 20",boxscore,BOS,,SFG,W,11,7,,53-39,1,up 0.5,Barnes,Cain,,3:46,N,38201,++,,2016
771,93,"Thursday, Jul 21",boxscore,BOS,,MIN,W,13,2,,54-39,1,up 0.5,Wright,Duffey,,2:45,N,37566,+++,,2016
